Группа,sentence,labels
Оптимизация валидации,"Я как модератор, хочу сократить время на проверку исполнителей, чтобы быстрее обрабатывать исполнителей;",12
Оптимизация валидации,"Я как модератор, хочу сократить время на проверку задач, чтобы снизить задержку в обработке;",12
Шаринг,"Я как пользвователь приложение, хочу поделиться приложением, чтобы показать знакомым приложение, которе мне понравилось и помогает зарабатывать/решать мои проблемы;",38
Шаринг,"Я как Владелец продукта, хочу дать возможность пользователям делиться приложением, чтобы привлекать больше пользователей.",38
Шаринг,"Я, как пользователь, хочу поделиться товаром, чтобы показать понравившуюся вещь партнеру или другу любым удобным мне способом.",38
Предзаполнение информации,"Я как пользователь приложения, хочу задать задачу, которую я ранее создавал в пару кликов, чтобы съэкономить время;",18
Предзаполнение информации,"Я хочу быстро и удобно создавать много тренировок, чтобы сэкономить время",18
Предзаполнение информации,"Я, как пользователь, хочу иметь возможность автоматически заполнять данные, чтобы не вводить их вручную.",18
Увеличение изображения,"Я как заказчик в приложении, хочу открыть аватурку исполнителя на весь экран, чтобы увидель исполнителя;",32
Увеличение изображения,"Я как заказчик в приложении, хочу рассмотреть аватарку исполнителя, чтобы понять выбирать ли его.",32
Увеличение изображения,"Я, как пользователь, хочу иметь возможность менять размер изображения товара, чтобы лучше рассмотреть товар.",32
Увеличение изображения,"Я, как заказчик, хочу, чтобы у пользователя была возможность менять размер изображения товара, чтобы пользователь мог лучше рассмотреть товар.",32
Фильтрация,"Я как пользователь, хочу видеть задачи без откликов, чтобы понимать активность исполнителей;",34
Фильтрация,"Я как пользователь, хочу видеть задачи с откликами, чтобы понимать активность исполнителей и правильность работы модели монетизации;",34
Фильтрация,"Я как пользователь, хочу видеть задачи завершенные за день, чтобы понимать сколько задач выполнелось за сегодня;",34
Фильтрация,"Я как модератор, хочу перемещать в архив устаревшую информацию о героях, программах, тренерах, чтобы у меня была актуальная информация",34
Фильтрация,"Я, как пользователь, хочу иметь возможность фильтровать товары по очевидным параметрам, чтобы получить релевантную моему запросу выборку.",34
